I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
6214	Tsu	1889	11	23					 6.0		 6.0						INDONESIA		INDONESIA:  MADURA ISLAND, JAVA	  -7.000	  113.500	60																								
2403		1890	11	23												7	INDONESIA		INDONESIA:  BANDANEIRA	  -4.500	  129.900	170								2				3								2				3
2404		1890	12	12												8	INDONESIA		INDONESIA:  JAVA:  PATI	  -6.760	  111.040	60		2						2		3				2						2		3		
9896	Tsu	1891	5	19													INDONESIA		INDONESIA:  SUMATRA:  ACEH:  SIGLI	   5.400	   96.000	60																								
6570	Tsu	1891	10	5				80	 7.0		 7.0						INDONESIA		TIMOR SEA	  -9.000	  124.000	60																								
6217	Tsu	1892	5	17	12	10										6	INDONESIA		INDONESIA:  SUMATRA:  PADANGSIDIMPUAN, LAKE TOBA	   2.500	   99.500	60								2		3		3								2		3		
6571	Tsu	1892	11	18				70	 7.0		 7.0						INDONESIA		INDONESIA: SERAM ISLAND	  -3.000	  127.750	170																								
2485		1896	4	18												8	INDONESIA		INDONESIA:  TIMOR:  ALOR ISLAND	  -8.250	  124.750	60	     250	3						2		3			     250	3						2		3		
6226	Tsu	1896	10	10				130	 6.8		 6.8						INDONESIA		INDONESIA:  SW. SUMATRA, JAVA	  -3.500	  102.500	60								1				1								1				1
6647	Tsu	1897	3	15				15	 5.5		 5.5						INDONESIA		INDONESIA:  KAJUADI ISLAND	  -6.800	  120.800	60																								
6229	Tsu	1899	9	29	17	3			 7.8		 7.8						INDONESIA		INDONESIA:  BANDA SEA	  -3.000	  128.500	170	    2460	4			       300	3		3					    2460	4			300	3		3				
9925	Tsu	1900	1	10													INDONESIA		INDONESIA:  GALELA (HALMAHERA ISLAND)	   -.030	  127.250	170																								
2567		1900	1	14												7	INDONESIA		INDONESIA:  JAVA:  SUKABUMI	  -6.840	  106.960	60								2				3								2				3
6574	Tsu	1900	10	7	21	4		33	 6.9		 6.9						INDONESIA		INDONESIA:  NW. IRIAN JAYA	  -4.000	  140.000	170													       5	1						1	1	1		
2645		1903	2	27	0	43	 18.0		 8.1		 8.1						INDONESIA		INDONESIA:  S OF JAVA	  -8.000	  106.000	60																								
6237	Tsu	1903	3	30				33	 6.5		 6.5						INDONESIA		INDONESIA:  TIFU, MASARETE, KAJELI	  -3.000	  127.500	170																								
6242	Tsu	1904	9	7													INDONESIA		INDONESIA:  S. JAVA	  -7.700	  109.000	60																								
2702		1905	1	22	2	43	 54.0	90	 8.4		 8.4						INDONESIA		INDONESIA:  MINAHASSA PENINSULA	   1.000	  123.000	170																								
2800	Tsu	1907	1	4	5	19	 12.0	50	 7.8		 7.8						INDONESIA		INDONESIA:  NW SUMATRA:  GUNUNGSITOLi, BARUS	   2.000	   94.500	60								3		3		3	     400	3						3		3		
6246	Tsu	1907	3	29	20	46	 30.0	500	 7.3		 7.3						INDONESIA		INDONESIA:  TALAUD ISLANDS:  KARAKELONG ISLAND	   3.000	  122.000	170																								
2813		1907	6	25	17	54	 36.0	200	 7.9		 7.9						INDONESIA		INDONESIA:  DJAILOLO GILOLO	   1.000	  127.000	170																								
2814		1907	7	30												8	INDONESIA		INDONESIA:  SULAWESI:  LEMO, COLO, ANJA, OLU CONGKO	  -2.000	  121.000	170								2	213	3										2	213	3		
6250	Tsu	1908	2	6				130	 7.5		 7.5						INDONESIA		SW. SUMATRA	  -2.000	  100.000	60																								
7527	Tsu	1908	3	23	12	20			 6.6		 6.6						INDONESIA		INDONESIA:  TIMOR	 -10.000	  129.000	60								1												1				
2836		1908	5	5	6	16			 7.5		 7.5						INDONESIA		INDONESIA:  CELEBES SEA	   3.000	  123.000	170																								
2868	Tsu	1909	6	3	18	40	 48.0	40	 7.6		 7.6						INDONESIA		INDONESIA:  SW SUMATRA:  KERINTJI, REDJANGLEBONG	  -2.000	  101.000	60		3						3		3		3		3						3		3		
2917		1910	12	16	14	45			 7.5		 7.5						INDONESIA		INDONESIA:  TALAUD ISLANDS	   4.500	  126.000	170																								
6576	Tsu	1910	12	18	2	42			 6.7		 6.7					8	INDONESIA		INDONESIA:  SULAWESI-N. MOLUCCAS ISLANDS	   4.000	  127.000	170								1				1								1				1
2973	Tsu	1913	3	14	8	45	  4.3	15	 7.8	 7.8	 7.9	 7.7				9	INDONESIA		INDONESIA:  SANGIHE ISLAND	   5.354	  126.121	170	     138	3				2		2		3			     138	3				2		2		3		
3005	Tsu	1914	5	26	14	22	 47.7	15	 8.1	 8.1	 8.0	 7.3				9	INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAPEN	  -1.829	  136.943	170		3						2		3				3						2		3		
3010	Tsu	1914	6	25	19	7	 25.9	35	 7.6	 7.6	 7.6	 7.6					INDONESIA		INDONESIA:  SUMATERA	  -3.924	  101.820	60	      20	1			        20	1		1		1			      20	1			20	1		1		1		
6264	Tsu	1915	5	23													INDONESIA		INDONESIA:  KAIMANA	  -3.644	  133.695	170																								
6542	Tsu	1915	11	6					 6.0		 6.0						INDONESIA		INDONESIA:  NW. IRIAN JAYA	  -1.000	  136.000	170																								
3046		1916	1	13	6	18	 16.0	30	 8.1		 8.1						INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA	  -3.000	  136.000	170																								
3047		1916	1	13	8	20	 48.0	16	 8.1		 8.1						INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA	  -3.000	  135.500	170																								
3064		1916	9	11	6	36	 30.0	100	 7.3		 7.3						INDONESIA		INDONESIA:  JAVA	  -9.000	  113.000	60								3	340	3										3	340	3		
3072	Tsu	1917	1	20	23	11	 34.0		 6.6		 6.6					9	INDONESIA		INDONESIA:  BALI	  -7.000	  116.000	60	    1500	4						2		2			    1500	4						2		2		
3094		1917	8	30	4	7	 15.0	100	 7.8		 7.8						INDONESIA		INDONESIA:  BANDA SEA	  -7.500	  128.000	170																								
3128		1918	11	18	18	41	 55.0	190	 8.1		 8.1						INDONESIA		INDONESIA:  BANDA SEA	  -7.000	  129.000	170																								
9798	Tsu	1919	11	21												8	INDONESIA		INDONESIA:  IRIAN JAYA REGION	  -2.550	  140.750	170								1		1										1		1		
6581	Tsu	1920	1	29													INDONESIA		INDONESIA:  N. MOLUCCAS ISLANDS	    .870	  122.920	170																								
3173	Tsu	1921	5	14	11	17	 45.0		 6.2		 6.2					8	INDONESIA		INDONESIA:  SANGKULIRANG,RENDING,KARIORANG,SEKURAN	    .700	  117.900	170								2		1		1								2		1		1
3175	Tsu	1921	9	11	4	1	 38.0		 7.5		 7.5						INDONESIA		INDONESIA:  S OF JAVA	 -11.000	  111.000	60								1												1				
3178		1921	10	10												7	INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA:  SENTANI	  -2.300	  138.800	170								2												2				
6275	Tsu	1922	2	22													INDONESIA		INDONESIA:  BANDA	  -3.300	  128.900	170																								
6276	Tsu	1922	4	10													INDONESIA		SW. SUMATRA	  -1.000	  100.350	60																								
6278	Tsu	1922	7	8													INDONESIA		LHOKNGA, ACEH	   5.500	   95.200	60																								
3221		1923	5	15												9	INDONESIA		INDONESIA:  JAVA:  MAOS	  -7.700	  109.200	60								2												2				
3235		1923	10	7	3	29	 34.0		 7.5		 7.5						INDONESIA		INDONESIA:  DJAILOLO GILOLO	  -1.750	  128.750	170																								
3254		1924	11	12													INDONESIA		INDONESIA:  JAVA	  -7.300	  109.800	60	      60	2																						
3256		1924	12	2												9	INDONESIA		INDONESIA:  JAVA:  WONOSOBO	  -7.300	  109.900	60	     727	3						3																
6294	Tsu	1925	1	8												3	INDONESIA		INDONESIA:  BANDA SEA	  -8.000	  115.000	60																								
3290	Tsu	1926	6	28	3	23	 25.0		 5.8		 5.8					9	INDONESIA		INDONESIA:  SUMATERA	   -.700	  100.600	60		3				3		2						3				3		2				
7865		1926	7	5													INDONESIA		INDONESIA:  SUMATRA	   -.300	  100.400	60		3						2		2				3						2		2		
3297		1926	10	26	3	44	 41.0		 7.9		 7.9						INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA	  -3.500	  138.500	170																								
3300		1926	12	13												9	INDONESIA		INDONESIA:  JAVA:  PRUPUK,MARGARSARI,DUBUKTENGAH	  -7.100	  109.000	60						2		3										2		3				
3339	Tsu	1927	12	1	4	37	 27.0		 6.3		 6.3					7	INDONESIA		INDONESIA:  SULAWESI:  DONGGALA	   -.700	  119.700	170								2		2			      50	1			50	1		3		3		
6085	Tsu	1930	6	19	13	7	 27.0	33	 6.0		 6.0						INDONESIA		JAVA-S. JAVA SEA	  -5.600	  105.300	60																								
6086	Tsu	1930	7	19	15	20	 12.0	100	 6.5		 6.5						INDONESIA		S. JAVA SEA	  -9.300	  114.300	60																								
6087	Tsu	1930	9	11												4	INDONESIA		INDONESIA:  AMURANG ISLAND	   1.200	  124.570	170																								
6320	Tsu	1931	9	25	5	59	 44.0		 7.4		 7.4					8	INDONESIA		SW. SUMATRA	  -5.000	  102.750	60								1												1				
3487		1932	5	14	13	11	    		 7.4	 7.4	 8.3					7	INDONESIA		INDONESIA:  SULAWESI:  KAKAS,LANGOWAN,POSO,TONDANO	    .500	  126.000	170	       6	1			       115	2		3	592	3			       6	1			115	2		3	592	3		
6094	Tsu	1932	9	9	13	38	 52.0	17								7	INDONESIA		INDONESIA:  AMBON ISLAND, CERAM ISLAND	  -3.570	  128.350	170								3	73	2		3								2	73	2		3
3521		1933	6	24	21	54	 48.8	20	 7.5	 7.5	 7.5						INDONESIA		INDONESIA:  S SUMATERA	  -5.151	  104.528	60																								
10466		1933	6	25	5	43	 22.0	20	 5.8	 5.8						9	INDONESIA		INDONESIA:  S SUMATERA	  -5.007	  104.501	60		1						2						1						2				
